shrinkage_p,lsh_acc,random_acc,lsh_time,random_time,lsh_std,random_std
0.0,99.463125,99.463125,87.36646882692973,87.23744022846222,0.0015062370331391556,0.0017285440646201031
10.0,99.48,99.35583333333334,84.25725515683492,79.56180707613628,0.0013198274297969571,0.0017127179504453811
20.0,99.44958333333334,99.31291666666668,79.26767683029175,71.99164088567098,0.0015749173258724832,0.001959525346438085
30.0,99.44791666666667,99.30666666666666,74.39225975672404,64.27075393994649,0.0016024341293447558,0.0021738023522543475
40.0,99.4375,99.29333333333334,69.61497406164806,56.6538850069046,0.0017537657895067824,0.0019212987505562234
50.0,99.4175,99.24,64.80043125152588,49.00880869229635,0.0016232683080748074,0.0019469705812992261
60.0,99.41000000000001,99.17999999999999,60.502228140830994,41.430782198905945,0.0018544428633240177,0.00246966315741868
70.0,99.35374999999999,99.04541666666667,55.460366447766624,34.034530997276306,0.002373643618527826,0.002913834934888672
80.0,99.25416666666666,98.88583333333334,50.91222663720449,26.120510657628376,0.0028248033363207753,0.0033195653162558935
90.0,99.01916666666666,98.44,45.78146247069041,18.422208269437153,0.004127785254965586,0.004878495897530533
